object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 94 
object alloc, Thread is main, class is [C, size is 48, tag is 95 
object alloc, Thread is main, class is [C, size is 80, tag is 96 
object alloc, Thread is main, class is [C, size is 152, tag is 97 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 98 
object alloc, Thread is main, class is [C, size is 1048, tag is 99 
object alloc, Thread is main, class is Ljava/lang/String;, size is 280, tag is 100 
object alloc, Thread is main, class is [C, size is 1384, tag is 101 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 102 
object alloc, Thread is main, class is [C, size is 272, tag is 103 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 104 
object alloc, Thread is main, class is [C, size is 48, tag is 105 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 106 
object alloc, Thread is main, class is [C, size is 48, tag is 107 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 108 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 109 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 110 
object alloc, Thread is main, class is [C, size is 48, tag is 111 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 112 
object alloc, Thread is main, class is [C, size is 80, tag is 113 
object alloc, Thread is main, class is Ljava/lang/String;, size is 40, tag is 114 
object alloc, Thread is main, class is [C, size is 80, tag is 115 
object alloc, Thread is main, class is [C, size is 152, tag is 116 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 117 
object alloc, Thread is main, class is [C, size is 80, tag is 118 
object alloc, Thread is main, class is Ljava/lang/String;, size is 40, tag is 119 
object alloc, Thread is main, class is [C, size is 296, tag is 120 
object alloc, Thread is main, class is Ljava/lang/String;, size is 136, tag is 121 
object alloc, Thread is main, class is [C, size is 528, tag is 122 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 123 
object alloc, Thread is main, class is [C, size is 48, tag is 124 
object alloc, Thread is main, class is [C, size is 80, tag is 125 
object alloc, Thread is main, class is [C, size is 152, tag is 126 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 127 
object alloc, Thread is main, class is [C, size is 1048, tag is 128 
object alloc, Thread is main, class is Ljava/lang/String;, size is 288, tag is 129 
object alloc, Thread is main, class is [C, size is 2760, tag is 130 
object alloc, Thread is main, class is Ljava/lang/String;, size is 960, tag is 131 
object alloc, Thread is main, class is [C, size is 1928, tag is 132 
object alloc, Thread is main, class is Ljava/lang/String;, size is 976, tag is 133 
object alloc, Thread is main, class is Landroid/app/ActivityThread$ActivityClientRecord;, size is 128, tag is 134 
object alloc, Thread is main, class is Landroid/content/res/Configuration;, size is 120, tag is 135 
object alloc, Thread is main, class is Landroid/app/WindowConfiguration;, size is 24, tag is 136 
object alloc, Thread is main, class is Landroid/graphics/Rect;, size is 24, tag is 137 
object alloc, Thread is main, class is Landroid/content/res/MiuiConfiguration;, size is 24, tag is 138 
object alloc, Thread is main, class is Landroid/app/-$$Lambda$ActivityThread$ActivityClientRecord$HOrG1qglSjSUHSjKBn2rXtX0gGg;, size is 16, tag is 139 
object alloc, Thread is main, class is Landroid/app/LoadedApk;, size is 120, tag is 140 
object alloc, Thread is main, class is Landroid/view/DisplayAdjustments;, size is 16, tag is 141 
object alloc, Thread is main, class is Landroid/util/ArrayMap;, size is 32, tag is 142 
object alloc, Thread is main, class is Landroid/util/ArrayMap;, size is 32, tag is 143 
object alloc, Thread is main, class is Landroid/util/ArrayMap;, size is 32, tag is 144 
object alloc, Thread is main, class is Landroid/util/ArrayMap;, size is 32, tag is 145 
object alloc, Thread is main, class is Landroid/content/pm/ApplicationInfo;, size is 288, tag is 146 
object alloc, Thread is main, class is Landroid/app/ContextImpl;, size is 128, tag is 147 
object alloc, Thread is main, class is Ljava/lang/Object;, size is 8, tag is 148 
object alloc, Thread is main, class is [Ljava/lang/Object;, size is 352, tag is 149 
object alloc, Thread is main, class is [I, size is 352, tag is 150 
object alloc, Thread is main, class is Landroid/app/ContextImpl$ApplicationContentResolver;, size is 32, tag is 151 
object alloc, Thread is main, class is Ljava/util/Random;, size is 24, tag is 152 
object alloc, Thread is main, class is Ljava/util/concurrent/atomic/AtomicLong;, size is 16, tag is 153 
object alloc, Thread is main, class is Landroid/util/DisplayMetrics;, size is 64, tag is 154 
object alloc, Thread is main, class is Landroid/view/DisplayAdjustments;, size is 16, tag is 155 
object alloc, Thread is main, class is Landroid/content/res/Configuration;, size is 120, tag is 156 
object alloc, Thread is main, class is Landroid/app/WindowConfiguration;, size is 24, tag is 157 
object alloc, Thread is main, class is Landroid/graphics/Rect;, size is 24, tag is 158 
object alloc, Thread is main, class is Landroid/content/res/MiuiConfiguration;, size is 24, tag is 159 
object alloc, Thread is main, class is Landroid/util/Pair;, size is 16, tag is 160 
object alloc, Thread is main, class is Landroid/view/DisplayInfo;, size is 160, tag is 161 
object alloc, Thread is main, class is [I, size is 16, tag is 162 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 163 
object alloc, Thread is main, class is Landroid/graphics/Rect;, size is 24, tag is 164 
object alloc, Thread is main, class is Landroid/graphics/Region;, size is 16, tag is 165 
object alloc, Thread is main, class is Ljava/lang/ref/FinalizerReference;, size is 40, tag is 166 
object alloc, Thread is main, class is Landroid/view/DisplayCutout;, size is 16, tag is 167 
object alloc, Thread is main, class is [Landroid/view/Display$Mode;, size is 16, tag is 168 
object alloc, Thread is main, class is Landroid/view/Display$Mode;, size is 24, tag is 169 
object alloc, Thread is main, class is [I, size is 24, tag is 170 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 171 
object alloc, Thread is main, class is Landroid/view/Display$HdrCapabilities;, size is 24, tag is 172 
object alloc, Thread is main, class is [I, size is 16, tag is 173 
object alloc, Thread is main, class is [I, size is 24, tag is 174 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 175 
object alloc, Thread is main, class is Landroid/view/Display;, size is 80, tag is 176 
